Quarter,Representative,PartyName,PortfolioValue,WeightedReturn,TotalTrades,UniqueStocks,SPYReturn,ExcessReturn
2025-Q1,A. Mitchell Jr. McConnell,Republicans,15000.0,-8.343902840638531,1,1,-5.91,-2.433902840638531
2025-Q1,April Mcclain Delaney,Democrats,695000.0,-0.8301300238196058,37,17,-5.91,5.079869976180395
2025-Q1,Ashley B. Moody,Republicans,550000.0,-18.310935975976232,4,4,-5.91,-12.400935975976232
2025-Q1,August Lee Pfluger Ii,Republicans,15000.0,-14.093271130705958,1,1,-5.91,-8.183271130705958
2025-Q1,Brad Knott,Republicans,80000.0,0.6814036325570814,3,2,-5.91,6.591403632557082
2025-Q1,Byron Donalds,Republicans,315000.0,-4.368503613619854,21,8,-5.91,1.541496386380146
2025-Q1,Cleo Fields,Democrats,1000000.0,8.475485414556584,1,1,-5.91,14.385485414556584
2025-Q1,David H. McCormick,Republicans,5150000.0,29.158475625289487,3,2,-5.91,35.06847562528949
2025-Q1,Debbie Dingell,Democrats,15000.0,-7.987543617256954,1,1,-5.91,-2.0775436172569535
2025-Q1,Debbie Wasserman Schultz,Democrats,15000.0,29.1835825203586,1,1,-5.91,35.093582520358595
2025-Q1,Emily Randall,Democrats,165000.0,-6.318677169244817,11,11,-5.91,-0.40867716924481723
2025-Q1,Gerald E. Connolly,Democrats,45000.0,0.6663725354670404,3,3,-5.91,6.576372535467041
2025-Q1,Gilbert Cisneros,Democrats,1550000.0,0.8343457004483598,79,62,-5.91,6.74434570044836
2025-Q1,Greg Landsman,Democrats,170000.0,-2.40798867490239,9,7,-5.91,3.50201132509761
2025-Q1,Jake Auchincloss,Democrats,50000.0,7.730976522603778,1,1,-5.91,13.64097652260378
2025-Q1,James Comer,Republicans,435000.0,-5.209955198522371,29,23,-5.91,0.7000448014776293
2025-Q1,James E. Banks,Republicans,15000.0,-7.386414678071429,1,1,-5.91,-1.4764146780714285
2025-Q1,James French Hill,Republicans,50000.0,-19.10131513284692,1,1,-5.91,-13.19131513284692
2025-Q1,Jared Moskowitz,Democrats,270000.0,1.4796060118417107,18,8,-5.91,7.38960601184171
2025-Q1,Jefferson Shreve,Republicans,3780000.0,-1.0193734026852792,64,64,-5.91,4.890626597314721
2025-Q1,John Boozman,Republicans,555000.0,-1.6776139384600914,37,28,-5.91,4.232386061539909
2025-Q1,Josh Gottheimer,Democrats,29470000.0,-0.5021633640825003,137,71,-5.91,5.4078366359175
2025-Q1,Julie Johnson,Democrats,1520000.0,-0.9509438356214542,99,79,-5.91,4.959056164378546
2025-Q1,Lloyd Doggett,Democrats,15000.0,3.28129807779432,1,1,-5.91,9.19129807779432
2025-Q1,Marco Rubio,Republicans,30000.0,-10.366724076920555,2,2,-5.91,-4.456724076920555
2025-Q1,Marjorie Taylor Greene,Republicans,1205000.0,-4.094029274403803,78,38,-5.91,1.8159707255961974
2025-Q1,Mark Dr Green,Republicans,1950000.0,11.799484056798518,6,1,-5.91,17.709484056798516
2025-Q1,Markwayne Mullin,Republicans,2315000.0,-6.740718413753424,46,26,-5.91,-0.8307184137534236
2025-Q1,Mikie Sherrill,Democrats,500000.0,5.283463496153768,1,1,-5.91,11.193463496153768
2025-Q1,Nancy Pelosi,Democrats,2600000.0,-16.730942820270965,5,5,-5.91,-10.820942820270965
2025-Q1,Richard W. Allen,Republicans,50000.0,19.342022552228894,1,1,-5.91,25.252022552228894
2025-Q1,Rick Larsen,Democrats,120000.0,2.628027352712665,8,8,-5.91,8.538027352712666
2025-Q1,Rob Bresnahan,Republicans,4400000.0,2.8803891569090805,255,173,-5.91,8.79038915690908
2025-Q1,Robert E. Latta,Republicans,15000.0,-7.8849050534545855,1,1,-5.91,-1.9749050534545853
2025-Q1,Ron Wyden,Democrats,230000.0,11.21159694950514,4,3,-5.91,17.12159694950514
2025-Q1,Scott Scott Franklin,Republicans,5390000.0,-11.182229773987919,11,4,-5.91,-5.2722297739879185
2025-Q1,Sheldon Whitehouse,Democrats,50000.0,25.00151018935476,1,1,-5.91,30.91151018935476
2025-Q1,Shelley Moore Capito,Republicans,255000.0,1.2947023825812858,17,14,-5.91,7.204702382581286
2025-Q1,Susie Lee,Democrats,200000.0,16.604656665412683,4,1,-5.91,22.514656665412684
2025-Q1,Thomas H. Kean Jr,Republicans,155000.0,4.177438819428533,8,7,-5.91,10.087438819428533
2025-Q1,Tim Moore,Republicans,3415000.0,3.2491171760068376,29,4,-5.91,9.159117176006838
2025-Q1,Tina Smith,Democrats,500000.0,-3.724897958692439,2,2,-5.91,2.185102041307561
2025-Q1,Tommy Tuberville,Republicans,265000.0,6.23957360741544,6,6,-5.91,12.14957360741544
2025-Q1,Victoria Spartz,Republicans,50000.0,-2.4397951773018627,1,1,-5.91,3.4702048226981375
2025-Q1,Virginia Foxx,Republicans,30000.0,-4.728136219898758,2,2,-5.91,1.1818637801012422
2025-Q1,William R. Keating,Democrats,165000.0,-2.7679687439986806,11,11,-5.91,3.1420312560013195
